epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2449.19,1.40696,1.19853,1.55511,0.51003,0.55238,0.56233,0.35057,1.27163,1.47658,1.5311,0.005743,0.005743,0.005743
45,2504.94,1.40966,1.20568,1.55699,0.48413,0.55611,0.55634,0.34162,1.26108,1.47317,1.5212,0.005644,0.005644,0.005644
46,2560.65,1.41335,1.20041,1.55796,0.48433,0.56414,0.55956,0.35307,1.28,1.46143,1.52338,0.005545,0.005545,0.005545
47,2616.36,1.3894,1.16983,1.54121,0.46975,0.54166,0.52502,0.32905,1.25915,1.50549,1.51545,0.005446,0.005446,0.005446
48,2672.1,1.39912,1.17756,1.54269,0.46738,0.56964,0.58626,0.3704,1.25001,1.41959,1.50773,0.005347,0.005347,0.005347
49,2727.81,1.38948,1.16669,1.53995,0.49736,0.56555,0.56098,0.34932,1.25447,1.42611,1.50833,0.005248,0.005248,0.005248
50,2783.6,1.39468,1.17011,1.5442,0.53554,0.57451,0.56783,0.35497,1.25673,1.46554,1.5201,0.005149,0.005149,0.005149
51,2838.77,1.38138,1.15655,1.53091,0.53476,0.5622,0.55097,0.349,1.22618,1.47385,1.48523,0.00505,0.00505,0.00505
52,2893.27,1.3675,1.14568,1.52151,0.53698,0.56776,0.58349,0.37087,1.23643,1.42594,1.50288,0.004951,0.004951,0.004951
53,2948.34,1.36427,1.14501,1.52325,0.55476,0.55956,0.60697,0.38621,1.21983,1.40504,1.48396,0.004852,0.004852,0.004852
54,3003.34,1.36897,1.13851,1.52197,0.56323,0.57496,0.59898,0.37598,1.23993,1.4042,1.4945,0.004753,0.004753,0.004753
55,3058.2,1.35635,1.13408,1.51189,0.5799,0.54747,0.5786,0.36888,1.22215,1.41855,1.48472,0.004654,0.004654,0.004654
56,3113.06,1.34074,1.11614,1.50363,0.5416,0.5839,0.58131,0.36575,1.2126,1.43127,1.47151,0.004555,0.004555,0.004555
57,3168.61,1.35618,1.12271,1.50746,0.53065,0.57373,0.58064,0.36846,1.21314,1.40387,1.47212,0.004456,0.004456,0.004456
58,3214.25,1.34323,1.1041,1.49219,0.53887,0.57653,0.5805,0.36565,1.22319,1.40837,1.48073,0.004357,0.004357,0.004357
